countyFIPS,unemp,#ICU_beds,#Hospitals,#EligibleforMedicare2018
22101,5.2,15,2,11015.0
22107,8.8,0,0,1286.0
22109,4.0,26,3,21591.0
21021,4.4,22,1,7359.0
21023,5.9,0,0,1972.0
22045,5.2,11,1,14639.0
21047,5.4,18,1,12005.0
21055,4.7,0,1,2297.0
21059,3.9,32,1,22380.0
21073,3.6,10,1,14637.0
21075,4.7,0,0,1909.0
21089,7.8,0,0,9944.0
21095,11.8,7,1,7815.0
55137,5.6,0,1,7054.0
56001,3.1,4,1,5350.0
56007,4.4,6,1,3021.0
56011,3.2,0,1,1715.0
56013,5.4,12,1,8756.0
56021,4.1,15,1,19588.0
54031,5.4,0,0,3563.0
54035,6.1,0,1,7471.0
54041,7.8,6,1,4550.0
50027,2.0,0,2,16354.0
51001,4.3,10,1,9270.0
51021,3.2,0,0,1886.0
51027,7.0,12,1,7641.0
51037,3.7,0,0,3545.0
51041,2.6,106,2,63411.0
